date,area,area_type,population,cases,cumulative_cases,reported_cases,cumulative_reported_cases,probable_cases,cumulative_probable_cases,report_prob,agency,avg_7,avg_per_100,sum_7,sum_per_100
2021-10-25,Monterey,County,448732,48,48526,91,47547,10,2791,101,case,31.857142857142858,7.3393239330745805,223,51.37526753152206
2021-10-25,Monterey,County,448732,48,48526,91,47547,10,2791,101,cdc,30,6.9114709683661975,210,48.380296778563384
2021-10-26,Monterey,County,448732,33,48559,25,47572,2,2793,27,case,33.42857142857143,7.701353364750907,234,53.90947355325634
2021-10-26,Monterey,County,448732,33,48559,25,47572,2,2793,27,cdc,29.857142857142858,6.878559201850169,209,48.149914412951176
2021-10-27,Monterey,County,448732,39,48598,38,47610,10,2803,48,case,33.714285714285715,7.767176897782965,236,54.370238284480756
2021-10-27,Monterey,County,448732,39,48598,38,47610,10,2803,48,cdc,32.57142857142857,7.503882765654728,228,52.5271793595831
2021-10-28,Monterey,County,448732,37,48635,39,47649,21,2824,60,case,34.42857142857143,7.931735730363113,241,55.52215011254178
2021-10-28,Monterey,County,448732,37,48635,39,47649,21,2824,60,cdc,36.142857142857146,8.326676928555468,253,58.286738499888266
2021-10-29,Monterey,County,448732,31,48666,0,47649,17,2841,17,case,34,7.833000430815024,238,54.831003015705164
2021-10-29,Monterey,County,448732,31,48666,0,47649,17,2841,17,cdc,37,8.524147527651643,259,59.669032693561505
2021-10-30,Monterey,County,448732,23,48689,0,47649,0,2841,0,case,32.57142857142857,7.503882765654728,228,52.5271793595831
2021-10-30,Monterey,County,448732,23,48689,0,47649,0,2841,0,cdc,36.714285714285715,8.458323994619585,257,59.20826796233709
2021-10-31,Monterey,County,448732,17,48706,95,47744,6,2847,101,case,32.57142857142857,7.503882765654728,228,52.5271793595831
2021-10-31,Monterey,County,448732,17,48706,95,47744,6,2847,101,cdc,50.57142857142857,11.650765346674445,354,81.55535742672113
2021-11-01,Monterey,County,448732,41,48747,12,47756,18,2865,30,case,31.571428571428573,7.273500400042522,221,50.91450280029766
2021-11-01,Monterey,County,448732,41,48747,12,47756,18,2865,30,cdc,40.42857142857143,9.314029924036351,283,65.19820946825446
2021-11-02,Monterey,County,448732,44,48791,19,47775,12,2877,31,case,33.142857142857146,7.635529831718847,232,53.448708822031925
2021-11-02,Monterey,County,448732,44,48791,19,47775,12,2877,31,cdc,41,9.44567699010047,287,66.11973893070329
2021-11-03,Monterey,County,448732,51,48842,19,47794,18,2895,37,case,34.857142857142854,8.030471029911201,244,56.2132972093784
2021-11-03,Monterey,County,448732,51,48842,19,47794,18,2895,37,cdc,39.42857142857143,9.083647558424145,276,63.585532908969014
2021-11-04,Monterey,County,448732,50,48892,36,47830,13,2908,49,case,36.714285714285715,8.458323994619585,257,59.20826796233709
2021-11-04,Monterey,County,448732,50,48892,36,47830,13,2908,49,cdc,37.857142857142854,8.72161812674782,265,61.05132688723475
2021-11-05,Monterey,County,448732,44,48936,0,47830,16,2924,16,case,38.57142857142857,8.886176959327967,270,62.20323871529578
2021-11-05,Monterey,County,448732,44,48936,0,47830,16,2924,16,cdc,37.714285714285715,8.68870636023179,264,60.820944521622536
2021-11-06,Monterey,County,448732,30,48966,0,47830,2,2926,2,case,39.57142857142857,9.116559324940173,277,63.81591527458122
2021-11-06,Monterey,County,448732,30,48966,0,47830,2,2926,2,cdc,38,8.75452989326385,266,61.281709252846944
2021-11-07,Monterey,County,448732,32,48998,94,47924,10,2936,104,case,41.714285714285715,9.610235822680618,292,67.27165075876432
2021-11-07,Monterey,County,448732,32,48998,94,47924,10,2936,104,cdc,38.42857142857143,8.85326519281194,269,61.972856349683575
2021-11-08,Monterey,County,448732,52,49050,18,47942,4,2940,22,case,43.285714285714285,9.972265254356943,303,69.8058567804986
2021-11-08,Monterey,County,448732,52,49050,18,47942,4,2940,22,cdc,37.285714285714285,8.589971060683702,261,60.12979742478591
2021-11-09,Monterey,County,448732,41,49091,33,47975,20,2960,53,case,42.857142857142854,9.873529954808854,300,69.11470968366197
2021-11-09,Monterey,County,448732,41,49091,33,47975,20,2960,53,cdc,40.42857142857143,9.314029924036351,283,65.19820946825446
2021-11-10,Monterey,County,448732,36,49127,33,48008,24,2984,57,case,40.714285714285715,9.37985345706841,285,65.65897419947888
2021-11-10,Monterey,County,448732,36,49127,33,48008,24,2984,57,cdc,43.285714285714285,9.972265254356943,303,69.8058567804986
2021-11-11,Monterey,County,448732,34,49161,0,48008,11,2995,11,case,38.42857142857143,8.85326519281194,269,61.972856349683575
2021-11-11,Monterey,County,448732,34,49161,0,48008,11,2995,11,cdc,37.857142857142854,8.72161812674782,265,61.05132688723475
2021-11-12,Monterey,County,448732,35,49196,79,48087,12,3007,91,case,37.142857142857146,8.557059294167674,260,59.89941505917371
2021-11-12,Monterey,County,448732,35,49196,79,48087,12,3007,91,cdc,48.57142857142857,11.190000615450034,340,78.33000430815024
2021-11-13,Monterey,County,448732,32,49228,0,48087,6,3013,6,case,37.42857142857143,8.622882827199732,262,60.36017979039812
2021-11-13,Monterey,County,448732,32,49228,0,48087,6,3013,6,cdc,49.142857142857146,11.321647681514152,344,79.25153377059905
2021-11-14,Monterey,County,448732,26,49254,48,48135,2,3015,50,case,36.57142857142857,8.425412228103554,256,58.97788559672488
2021-11-14,Monterey,County,448732,26,49254,48,48135,2,3015,50,cdc,41.42857142857143,9.544412289648559,290,66.81088602753991
2021-11-15,Monterey,County,448732,55,49309,19,48154,18,3033,37,case,37,8.524147527651643,259,59.669032693561505
2021-11-15,Monterey,County,448732,55,49309,19,48154,18,3033,37,cdc,43.57142857142857,10.038088787389,305,70.266621511723
2021-11-16,Monterey,County,448732,32,49341,41,48195,6,3039,47,case,35.714285714285715,8.227941629007379,250,57.59559140305165
2021-11-16,Monterey,County,448732,32,49341,41,48195,6,3039,47,cdc,42.714285714285715,9.840618188292824,299,68.88432731804977
2021-11-17,Monterey,County,448732,30,49371,26,48221,14,3053,40,case,34.857142857142854,8.030471029911201,244,56.2132972093784
2021-11-17,Monterey,County,448732,30,49371,26,48221,14,3053,40,cdc,40.285714285714285,9.281118157520321,282,64.96782710264226
2021-11-18,Monterey,County,448732,48,49419,39,48260,11,3064,50,case,36.857142857142854,8.491235761135613,258,59.4386503279493
2021-11-18,Monterey,County,448732,48,49419,39,48260,11,3064,50,cdc,45.857142857142854,10.564677051645473,321,73.95273936151831
2021-11-19,Monterey,County,448732,25,49444,0,48260,5,3069,5,case,35.42857142857143,8.162118095975318,248,57.134826671827234
2021-11-19,Monterey,County,448732,25,49444,0,48260,5,3069,5,cdc,33.57142857142857,7.734265131266935,235,54.13985591886855
2021-11-20,Monterey,County,448732,22,49466,0,48260,0,3069,0,case,34,7.833000430815024,238,54.831003015705164
2021-11-20,Monterey,County,448732,22,49466,0,48260,0,3069,0,cdc,32.714285714285715,7.536794532170759,229,52.75756172519531
2021-11-21,Monterey,County,448732,13,49479,98,48358,5,3074,103,case,32.142857142857146,7.405147466106641,225,51.836032262746485
2021-11-21,Monterey,County,448732,13,49479,98,48358,5,3074,103,cdc,40.285714285714285,9.281118157520321,282,64.96782710264226
2021-11-22,Monterey,County,448732,46,49525,16,48374,9,3083,25,case,30.857142857142858,7.108941567462375,216,49.76259097223662
2021-11-22,Monterey,County,448732,46,49525,16,48374,9,3083,25,cdc,38.57142857142857,8.886176959327967,270,62.20323871529578
2021-11-23,Monterey,County,448732,28,49553,26,48400,4,3087,30,case,30.285714285714285,6.977294501398256,212,48.84106150978779
2021-11-23,Monterey,County,448732,28,49553,26,48400,4,3087,30,cdc,36.142857142857146,8.326676928555468,253,58.286738499888266
2021-11-24,Monterey,County,448732,36,49589,0,48400,6,3093,6,case,31.142857142857142,7.174765100494433,218,50.22335570346103
2021-11-24,Monterey,County,448732,36,49589,0,48400,6,3093,6,cdc,31.285714285714285,7.207676867010463,219,50.45373806907324
2021-11-25,Monterey,County,448732,13,49602,0,48400,1,3094,1,case,26.142857142857142,6.022853272433401,183,42.159972907033804
2021-11-25,Monterey,County,448732,13,49602,0,48400,1,3094,1,cdc,24.285714285714285,5.595000307725017,170,39.16500215407512
2021-11-26,Monterey,County,448732,44,49646,0,48400,9,3103,9,case,28.857142857142858,6.648176836237961,202,46.53723785366573
2021-11-26,Monterey,County,448732,44,49646,0,48400,9,3103,9,cdc,24.857142857142858,5.7266473737891355,174,40.08653161652395
2021-11-27,Monterey,County,448732,43,49689,0,48400,7,3110,7,case,31.857142857142858,7.3393239330745805,223,51.37526753152206
2021-11-27,Monterey,County,448732,43,49689,0,48400,7,3110,7,cdc,25.857142857142858,5.957029739401341,181,41.699208175809396
2021-11-28,Monterey,County,448732,33,49722,137,48537,14,3124,151,case,34.714285714285715,7.997559263395171,243,55.982914843766196
2021-11-28,Monterey,County,448732,33,49722,137,48537,14,3124,151,cdc,32.714285714285715,7.536794532170759,229,52.75756172519531
2021-11-29,Monterey,County,448732,65,49787,11,48548,19,3143,30,case,37.42857142857143,8.622882827199732,262,60.36017979039812
2021-11-29,Monterey,County,448732,65,49787,11,48548,19,3143,30,cdc,33.42857142857143,7.701353364750907,234,53.90947355325634
2021-11-30,Monterey,County,448732,61,49848,33,48581,16,3159,49,case,42.142857142857146,9.708971122228707,295,67.96279785560094
2021-11-30,Monterey,County,448732,61,49848,33,48581,16,3159,49,cdc,36.142857142857146,8.326676928555468,253,58.286738499888266
2021-12-01,Monterey,County,448732,63,49911,30,48611,10,3169,40,case,46,10.597588818161501,322,74.18312172713053
2021-12-01,Monterey,County,448732,63,49911,30,48611,10,3169,40,cdc,41,9.44567699010047,287,66.11973893070329
2021-12-02,Monterey,County,448732,49,49960,71,48682,9,3178,80,case,51.142857142857146,11.782412412738566,358,82.47688688916995
2021-12-02,Monterey,County,448732,49,49960,71,48682,9,3178,80,cdc,52.285714285714285,12.045706544866801,366,84.31994581406761
2021-12-03,Monterey,County,448732,75,50035,0,48682,22,3200,22,case,55.57142857142857,12.802677174735479,389,89.61874022314836
2021-12-03,Monterey,County,448732,75,50035,0,48682,22,3200,22,cdc,54.142857142857146,12.473559509575184,379,87.31491656702629
2021-12-04,Monterey,County,448732,39,50074,0,48682,11,3211,11,case,55,12.671030108671362,385,88.69721076069953
2021-12-04,Monterey,County,448732,39,50074,0,48682,11,3211,11,cdc,54.714285714285715,12.605206575639304,383,88.23644602947512
2021-12-05,Monterey,County,448732,32,50106,131,48813,7,3218,138,case,54.857142857142854,12.638118342155332,384,88.46682839508732
2021-12-05,Monterey,County,448732,32,50106,131,48813,7,3218,138,cdc,52.857142857142854,12.177353610930918,370,85.24147527651644
2021-12-06,Monterey,County,448732,72,50178,18,48831,32,3250,50,case,55.857142857142854,12.868500707767538,391,90.07950495437278
2021-12-06,Monterey,County,448732,72,50178,18,48831,32,3250,50,cdc,55.714285714285715,12.83558894125151,390,89.84912258876057
2021-12-07,Monterey,County,448732,76,50254,49,48880,19,3269,68,case,58,13.362177205507981,406,93.53524043855587
2021-12-07,Monterey,County,448732,76,50254,49,48880,19,3269,68,cdc,58.42857142857143,13.46091250505607,409,94.22638753539249
2021-12-08,Monterey,County,448732,84,50338,77,48957,17,3286,94,case,61,14.0533243023446,427,98.37327011641221
2021-12-08,Monterey,County,448732,84,50338,77,48957,17,3286,94,cdc,66.14285714285714,15.238147896921662,463,106.66703527845165
2021-12-09,Monterey,County,448732,65,50403,51,49008,15,3301,66,case,63.285714285714285,14.579912566601072,443,102.05938796620751
2021-12-09,Monterey,County,448732,65,50403,51,49008,15,3301,66,cdc,64.14285714285714,14.77738316569725,449,103.44168215988074
2021-12-10,Monterey,County,448732,46,50449,0,49008,11,3312,11,case,59.142857142857146,13.625471337636217,414,95.37829936345352
2021-12-10,Monterey,County,448732,46,50449,0,49008,11,3312,11,cdc,62.57142857142857,14.415353734020925,438,100.90747613814648
2021-12-11,Monterey,County,448732,37,50486,0,49008,6,3318,6,case,58.857142857142854,13.55964780460416,412,94.9175346322291
2021-12-11,Monterey,County,448732,37,50486,0,49008,6,3318,6,cdc,61.857142857142854,14.250794901440777,433,99.75556431008545
2021-12-12,Monterey,County,448732,28,50514,184,49192,3,3321,187,case,58.285714285714285,13.428000738540039,408,93.99600516978028
2021-12-12,Monterey,County,448732,28,50514,184,49192,3,3321,187,cdc,68.85714285714286,15.863471460726226,482,111.04430022508356
2021-12-13,Monterey,County,448732,53,50567,30,49222,26,3347,56,case,55.57142857142857,12.802677174735479,389,89.61874022314836
2021-12-13,Monterey,County,448732,53,50567,30,49222,26,3347,56,cdc,69.71428571428571,16.060942059822402,488,112.4265944187568
2021-12-14,Monterey,County,448732,52,50619,15,49237,19,3366,34,case,52.142857142857146,12.012794778350772,365,84.08956344845541
2021-12-14,Monterey,County,448732,52,50619,15,49237,19,3366,34,cdc,64.85714285714286,14.941941998277398,454,104.59359398794177
2021-12-15,Monterey,County,448732,84,50703,42,49279,11,3377,53,case,52.142857142857146,12.012794778350772,365,84.08956344845541
2021-12-15,Monterey,County,448732,84,50703,42,49279,11,3377,53,cdc,59,13.592559571120189,413,95.14791699784132
2021-12-16,Monterey,County,448732,55,50758,64,49343,18,3395,82,case,50.714285714285715,11.683677113190477,355,81.78573979233333
2021-12-16,Monterey,County,448732,55,50758,64,49343,18,3395,82,cdc,61.285714285714285,14.11914783537666,429,98.83403484763662
2021-12-17,Monterey,County,448732,71,50829,0,49343,17,3412,17,case,54.285714285714285,12.506471276091215,380,87.5452989326385
2021-12-17,Monterey,County,448732,71,50829,0,49343,17,3412,17,cdc,62.142857142857146,14.316618434472838,435,100.21632904130986
2021-12-18,Monterey,County,448732,58,50887,0,49343,5,3417,5,case,57.285714285714285,13.197618372927833,401,92.38332861049484
2021-12-18,Monterey,County,448732,58,50887,0,49343,5,3417,5,cdc,62,14.283706667956809,434,99.98594667569765
